<SAD, include[], SADNESS, br.com.caelum.vraptor.blank.IndexController, index[], null>
<dao.ProdutoDao, listaTudo[], java.util.List<modelo.Produto>, controller.ProdutosController, lista[], null>
<modelo.Produto, getNome[], java.lang.String, controller.ProdutosController, adiciona[modelo.Produto], null>
<java.lang.String, length[], int, controller.ProdutosController, adiciona[modelo.Produto], null>
<modelo.Produto, getNome[], java.lang.String, controller.ProdutosController, adiciona[modelo.Produto], length[]>
<SAD, add[], SADNESS, controller.ProdutosController, adiciona[modelo.Produto], null>
<modelo.Produto, getDescricao[], java.lang.String, controller.ProdutosController, adiciona[modelo.Produto], null>
<java.lang.String, length[], int, controller.ProdutosController, adiciona[modelo.Produto], null>
<modelo.Produto, getDescricao[], java.lang.String, controller.ProdutosController, adiciona[modelo.Produto], length[]>
<SAD, add[], SADNESS, controller.ProdutosController, adiciona[modelo.Produto], null>
<modelo.Produto, getPreco[], double, controller.ProdutosController, adiciona[modelo.Produto], null>
<SAD, add[], SADNESS, controller.ProdutosController, adiciona[modelo.Produto], null>
<SAD, formulario[], SADNESS, controller.ProdutosController, adiciona[modelo.Produto], null>
<SAD, onErrorUsePageOf[], SADNESS, controller.ProdutosController, adiciona[modelo.Produto], null>
<dao.ProdutoDao, salva[modelo.Produto], void, controller.ProdutosController, adiciona[modelo.Produto], null>
<SAD, lista[], SADNESS, controller.ProdutosController, adiciona[modelo.Produto], null>
<SAD, redirectTo[], SADNESS, controller.ProdutosController, adiciona[modelo.Produto], null>
<dao.ProdutoDao, deleta[java.lang.Long], void, controller.ProdutosController, remove[java.lang.Long], null>
<SAD, lista[], SADNESS, controller.ProdutosController, remove[java.lang.Long], null>
<SAD, redirectTo[], SADNESS, controller.ProdutosController, remove[java.lang.Long], null>
<dao.ProdutoDao, carrega[java.lang.Long], modelo.Produto, controller.ProdutosController, edita[java.lang.Long], null>
<dao.ProdutoDao, atualiza[modelo.Produto], void, controller.ProdutosController, altera[modelo.Produto], null>
<SAD, lista[], SADNESS, controller.ProdutosController, altera[modelo.Produto], null>
<SAD, redirectTo[], SADNESS, controller.ProdutosController, altera[modelo.Produto], lista[]>
<SAD, include[], SADNESS, controller.ProdutosController, busca[java.lang.String], null>
<dao.ProdutoDao, busca[java.lang.String], java.util.List<modelo.Produto>, controller.ProdutosController, busca[java.lang.String], null>
<SAD, openSession[], SADNESS, testes.CriadorDeSession, abre[], null>
<SAD, close[], SADNESS, testes.CriadorDeSession, fecha[], null>
<SAD, configure[], SADNESS, testes.CriadorDeSessionFactory, abre[], null>
<SAD, buildSessionFactory[], SADNESS, testes.CriadorDeSessionFactory, abre[], null>
<SAD, close[], SADNESS, testes.CriadorDeSessionFactory, fecha[], null>
<SAD, configure[], SADNESS, testes.Main, main[java.lang.String[]], null>
<SAD, buildSessionFactory[], SADNESS, testes.Main, main[java.lang.String[]], null>
<SAD, openSession[], SADNESS, testes.Main, main[java.lang.String[]], null>
<SAD, load[], SADNESS, testes.Main, main[java.lang.String[]], null>
<modelo.Produto, setPreco[double], void, testes.Main, main[java.lang.String[]], null>
<modelo.Produto, setNome[java.lang.String], void, testes.Main, main[java.lang.String[]], null>
<SAD, beginTransaction[], SADNESS, testes.Main, main[java.lang.String[]], null>
<SAD, update[], SADNESS, testes.Main, main[java.lang.String[]], null>
<SAD, commit[], SADNESS, testes.Main, main[java.lang.String[]], null>
<SAD, beginTransaction[], SADNESS, dao.ProdutoDao, salva[modelo.Produto], null>
<SAD, save[], SADNESS, dao.ProdutoDao, salva[modelo.Produto], null>
<SAD, commit[], SADNESS, dao.ProdutoDao, salva[modelo.Produto], null>
<SAD, beginTransaction[], SADNESS, dao.ProdutoDao, deleta[java.lang.Long], null>
<SAD, load[], SADNESS, dao.ProdutoDao, deleta[java.lang.Long], null>
<SAD, delete[], SADNESS, dao.ProdutoDao, deleta[java.lang.Long], null>
<SAD, commit[], SADNESS, dao.ProdutoDao, deleta[java.lang.Long], null>
<SAD, beginTransaction[], SADNESS, dao.ProdutoDao, atualiza[modelo.Produto], null>
<SAD, update[], SADNESS, dao.ProdutoDao, atualiza[modelo.Produto], null>
<SAD, commit[], SADNESS, dao.ProdutoDao, atualiza[modelo.Produto], null>
<SAD, load[], SADNESS, dao.ProdutoDao, carrega[java.lang.Long], null>
<SAD, list[], SADNESS, dao.ProdutoDao, listaTudo[], null>
<SAD, createCriteria[], SADNESS, dao.ProdutoDao, listaTudo[], null>
<SAD, list[], SADNESS, dao.ProdutoDao, busca[java.lang.String], null>
<SAD, add[], SADNESS, dao.ProdutoDao, busca[java.lang.String], null>
<SAD, createCriteria[], SADNESS, dao.ProdutoDao, busca[java.lang.String], null>
<SAD, ilike[], SADNESS, dao.ProdutoDao, busca[java.lang.String], null>
