All Method Calls (7415)

<at.bestsolution.ext.swing.icon.SolidColoredIcon; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.AlphaColorJButton; AlphaColorJButton[java.awt.Color, int, int, int, int]; void; null; fill_icon_>
<javax.swing.AbstractButton; setIcon[javax.swing.Icon]; void; at.bestsolution.ext.swing.AlphaColorJButton; AlphaColorJButton[java.awt.Color, int, int, int, int]; void; null; this>
<javax.swing.AbstractButton; addActionListener[java.awt.event.ActionListener]; void; at.bestsolution.ext.swing.AlphaColorJButton; AlphaColorJButton[java.awt.Color, int, int, int, int]; void; null; this>
<at.bestsolution.ext.swing.icon.SolidColoredIcon; setFillColor[java.awt.Color]; void; at.bestsolution.ext.swing.AlphaColorJButton; AlphaColorJButton[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String, java.awt.Color]; void; null; fill_icon_>
<at.bestsolution.ext.swing.icon.IIconFactory; getSolidColorIcon[java.lang.String]; at.bestsolution.ext.swing.icon.SolidColoredIcon; at.bestsolution.ext.swing.AlphaColorJButton; AlphaColorJButton[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String]; void; null; icon_provider>
<at.bestsolution.ext.swing.icon.SolidColoredIcon; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.AlphaColorJButton; AlphaColorJButton[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String]; void; null; fill_icon_>
<javax.swing.AbstractButton; setIcon[javax.swing.Icon]; void; at.bestsolution.ext.swing.AlphaColorJButton; AlphaColorJButton[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String]; void; null; this>
<javax.swing.AbstractButton; addActionListener[java.awt.event.ActionListener]; void; at.bestsolution.ext.swing.AlphaColorJButton; AlphaColorJButton[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String]; void; null; this>
<javax.swing.AbstractButton; fireStateChanged[]; void; at.bestsolution.ext.swing.AlphaColorJButton; stateChanged[javax.swing.event.ChangeEvent]; void; null; this>
<java.awt.Component; repaint[]; void; at.bestsolution.ext.swing.AlphaColorJButton; stateChanged[javax.swing.event.ChangeEvent]; void; null; this>
<at.bestsolution.ext.swing.dialog.AlphaColorChooser; getInstance[]; at.bestsolution.ext.swing.dialog.AlphaColorChooser; at.bestsolution.ext.swing.AlphaColorJButton; actionPerformed[java.awt.event.ActionEvent]; void; null; AlphaColorChooser>
<java.awt.Dialog; setTitle[java.lang.String]; void; at.bestsolution.ext.swing.AlphaColorJButton; actionPerformed[java.awt.event.ActionEvent]; void; null; color_chooser>
<at.bestsolution.ext.swing.dialog.AlphaColorChooser; setChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.AlphaColorJButton; actionPerformed[java.awt.event.ActionEvent]; void; null; color_chooser>
<at.bestsolution.ext.swing.dialog.AlphaColorChooser; setColor[java.awt.Color]; void; at.bestsolution.ext.swing.AlphaColorJButton; actionPerformed[java.awt.event.ActionEvent]; void; null; color_chooser>
<at.bestsolution.ext.swing.icon.SolidColoredIcon; getColor[]; java.awt.Color; at.bestsolution.ext.swing.AlphaColorJButton; actionPerformed[java.awt.event.ActionEvent]; void; null; ((SolidColoredIcon)getIcon())>
<javax.swing.AbstractButton; getIcon[]; javax.swing.Icon; at.bestsolution.ext.swing.AlphaColorJButton; actionPerformed[java.awt.event.ActionEvent]; void; getColor[]; this>
<java.awt.Dialog; show[]; void; at.bestsolution.ext.swing.AlphaColorJButton; actionPerformed[java.awt.event.ActionEvent]; void; null; color_chooser>
<at.bestsolution.ext.swing.icon.SolidColoredIcon; getColor[]; java.awt.Color; at.bestsolution.ext.swing.AlphaColorJButton; getColor[]; java.awt.Color; null; ((SolidColoredIcon)getIcon())>
<javax.swing.AbstractButton; getIcon[]; javax.swing.Icon; at.bestsolution.ext.swing.AlphaColorJButton; getColor[]; java.awt.Color; getColor[]; this>
<at.bestsolution.ext.swing.icon.SolidColoredIcon; setFillColor[java.awt.Color]; void; at.bestsolution.ext.swing.AlphaColorJButton; setColor[java.awt.Color]; void; null; ((SolidColoredIcon)getIcon())>
<javax.swing.AbstractButton; getIcon[]; javax.swing.Icon; at.bestsolution.ext.swing.AlphaColorJButton; setColor[java.awt.Color]; void; setFillColor[java.awt.Color]; this>
<at.bestsolution.ext.swing.icon.GradientIcon; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; GradientJRadioButtonMenuItem[org.apache.batik.ext.awt.MultipleGradientPaint, int, int, int, int]; void; null; gradient_icon_>
<javax.swing.AbstractButton; setIcon[javax.swing.Icon]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; GradientJRadioButtonMenuItem[org.apache.batik.ext.awt.MultipleGradientPaint, int, int, int, int]; void; null; this>
<javax.swing.AbstractButton; addActionListener[java.awt.event.ActionListener]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; GradientJRadioButtonMenuItem[org.apache.batik.ext.awt.MultipleGradientPaint, int, int, int, int]; void; null; this>
<at.bestsolution.ext.swing.icon.GradientIcon; setGradient[org.apache.batik.ext.awt.MultipleGradientPaint]; void; at.bestsolution.ext.swing.GradientJRadioButtonMenuItem; GradientJRadioButtonMenuItem[at.bestsolution.ext.swing.icon.IIconFactory, java.lang.String, org.apache.batik.ext.awt.MultipleGradientPaint]; void; null; gradient_icon_>
