All Method Calls (8837)

<java.util.Map; get[java.lang.Object]; java.lang.Object; org.sablecc.sablecc.ResolveProdTransformIds; caseAProd[org.sablecc.sablecc.node.AProd]; void; null; transformIds.astIds.names>
<java.util.LinkedList; toArray[java.lang.Object[]]; java.lang.Object[]; org.sablecc.sablecc.ResolveProdTransformIds; caseAProd[org.sablecc.sablecc.node.AProd]; void; null; production.getProdTransform()>
<org.sablecc.sablecc.node.AProd; getProdTransform[]; java.util.LinkedList; org.sablecc.sablecc.ResolveProdTransformIds; caseAProd[org.sablecc.sablecc.node.AProd]; void; toArray[java.lang.Object[]]; production>
<java.util.LinkedList; add[java.lang.Object]; boolean; org.sablecc.sablecc.ResolveProdTransformIds; caseAProd[org.sablecc.sablecc.node.AProd]; void; null; listProdTransformList>
<org.sablecc.sablecc.node.Switchable; apply[org.sablecc.sablecc.node.Switch]; void; org.sablecc.sablecc.ResolveProdTransformIds; caseAProd[org.sablecc.sablecc.node.AProd]; void; null; ((PElem)temp[i])>
<org.sablecc.sablecc.node.Token; getText[]; java.lang.String; org.sablecc.sablecc.analysis.DepthFirstAdapter; caseAElem[org.sablecc.sablecc.node.AElem]; void; null; node.getId()>
<org.sablecc.sablecc.node.AElem; getId[]; org.sablecc.sablecc.node.TId; org.sablecc.sablecc.analysis.DepthFirstAdapter; caseAElem[org.sablecc.sablecc.node.AElem]; void; getText[]; node>
<org.sablecc.sablecc.ResolveIds; name[java.lang.String]; java.lang.String; org.sablecc.sablecc.analysis.DepthFirstAdapter; caseAElem[org.sablecc.sablecc.node.AElem]; void; null; ResolveIds>
<org.sablecc.sablecc.node.AElem; getElemName[]; org.sablecc.sablecc.node.TId; org.sablecc.sablecc.analysis.DepthFirstAdapter; caseAElem[org.sablecc.sablecc.node.AElem]; void; null; node>
<org.sablecc.sablecc.node.Token; getText[]; java.lang.String; org.sablecc.sablecc.analysis.DepthFirstAdapter; caseAElem[org.sablecc.sablecc.node.AElem]; void; null; node.getElemName()>
<org.sablecc.sablecc.node.AElem; getElemName[]; org.sablecc.sablecc.node.TId; org.sablecc.sablecc.analysis.DepthFirstAdapter; caseAElem[org.sablecc.sablecc.node.AElem]; void; getText[]; node>
<java.util.LinkedList; contains[java.lang.Object]; boolean; org.sablecc.sablecc.analysis.DepthFirstAdapter; caseAElem[org.sablecc.sablecc.node.AElem]; void; null; listElems>
<org.sablecc.sablecc.ResolveProdTransformIds; error[org.sablecc.sablecc.node.Token, java.lang.String]; void; org.sablecc.sablecc.analysis.DepthFirstAdapter; caseAElem[org.sablecc.sablecc.node.AElem]; void; null; this>
<org.sablecc.sablecc.node.AElem; getElemName[]; org.sablecc.sablecc.node.TId; org.sablecc.sablecc.analysis.DepthFirstAdapter; caseAElem[org.sablecc.sablecc.node.AElem]; void; null; node>
<java.util.LinkedList; add[java.lang.Object]; boolean; org.sablecc.sablecc.analysis.DepthFirstAdapter; caseAElem[org.sablecc.sablecc.node.AElem]; void; null; listElems>
