All Method Calls (2202)

<javax.swing.JComponent; setToolTipText[java.lang.String]; void; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; ZoomableColumnTextArea[net.sourceforge.squirrel_sql.plugins.graph.TableToolTipProvider, net.sourceforge.squirrel_sql.plugins.graph.Zoomer, net.sourceforge.squirrel_sql.plugins.graph.DndCallback, net.sourceforge.squirrel_sql.plugins.graph.ISession]; void; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.TableToolTipProvider; getToolTipText[java.awt.event.MouseEvent]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getToolTipText[java.awt.event.MouseEvent]; java.lang.String; null; _toolTipProvider>
<java.awt.Graphics2D; getTransform[]; java.awt.geom.AffineTransform; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; paint[java.awt.Graphics]; void; null; g2d>
<java.awt.geom.AffineTransform; scale[double, double]; void; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; paint[java.awt.Graphics]; void; null; at>
<net.sourceforge.squirrel_sql.plugins.graph.Zoomer; getZoom[]; double; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; paint[java.awt.Graphics]; void; null; _zoomer>
<net.sourceforge.squirrel_sql.plugins.graph.Zoomer; getZoom[]; double; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; paint[java.awt.Graphics]; void; null; _zoomer>
<java.awt.Graphics2D; setTransform[java.awt.geom.AffineTransform]; void; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; paint[java.awt.Graphics]; void; null; g2d>
<net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getTextHeight[]; int; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; paint[java.awt.Graphics]; void; null; this>
<java.awt.Graphics2D; drawString[java.lang.String, int, int]; void; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; paint[java.awt.Graphics]; void; null; g2d>
<net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; toString[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; paint[java.awt.Graphics]; void; null; _columnInfos[i]>
<java.awt.Graphics2D; setTransform[java.awt.geom.AffineTransform]; void; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; paint[java.awt.Graphics]; void; null; g2d>
<javax.swing.JComponent; getFontMetrics[java.awt.Font]; java.awt.FontMetrics; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getTextHeight[]; int; null; this>
<java.awt.Component; getFont[]; java.awt.Font; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getTextHeight[]; int; null; this>
<java.awt.FontMetrics; getAscent[]; int; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getTextHeight[]; int; null; fm>
<java.awt.FontMetrics; getLeading[]; int; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getTextHeight[]; int; null; fm>
<java.awt.FontMetrics; getDescent[]; int; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getTextHeight[]; int; null; fm>
<javax.swing.JComponent; getFontMetrics[java.awt.Font]; java.awt.FontMetrics; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getMaxTextWidht[]; int; null; this>
<java.awt.Component; getFont[]; java.awt.Font; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getMaxTextWidht[]; int; null; this>
<java.awt.FontMetrics; stringWidth[java.lang.String]; int; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getMaxTextWidht[]; int; null; fm>
<net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; toString[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getMaxTextWidht[]; int; null; _columnInfos[0]>
<java.lang.Math; max[int, int]; int; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getMaxTextWidht[]; int; null; Math>
<java.awt.FontMetrics; stringWidth[java.lang.String]; int; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getMaxTextWidht[]; int; null; fm>
<net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; toString[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getMaxTextWidht[]; int; null; _columnInfos[0]>
<net.sourceforge.squirrel_sql.plugins.graph.Zoomer; getZoom[]; double; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getMaxTextWidht[]; int; null; _zoomer>
<net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getMaxTextWidht[]; int; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getPreferredSize[]; java.awt.Dimension; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.Zoomer; getZoom[]; double; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getPreferredSize[]; java.awt.Dimension; null; _zoomer>
<net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getTextHeight[]; int; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getPreferredSize[]; java.awt.Dimension; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.DndHandler; getDndEvent[]; net.sourceforge.squirrel_sql.plugins.graph.DndEvent; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; getDndEvent[]; net.sourceforge.squirrel_sql.plugins.graph.DndEvent; null; _dndHandler>
<net.sourceforge.squirrel_sql.plugins.graph.DndHandler; setDndEvent[net.sourceforge.squirrel_sql.plugins.graph.DndEvent]; void; net.sourceforge.squirrel_sql.plugins.graph.ZoomableColumnTextArea; setDndEvent[net.sourceforge.squirrel_sql.plugins.graph.DndEvent]; void; null; _dndHandler>
