All Method Calls (3000)

<gnu.trove.TIterator; moveToNextIndex[]; void; gnu.trove.THashIterator; next[]; V; null; this>
<gnu.trove.THashIterator; objectAtIndex[int]; V; gnu.trove.THashIterator; next[]; V; null; this>
<gnu.trove.THash; size[]; int; gnu.trove.THashIterator; nextIndex[]; int; null; _hash>
<java.lang.System; identityHashCode[java.lang.Object]; int; gnu.trove.TObjectIdentityHashingStrategy; computeHashCode[T]; int; null; System>
<java.io.DataOutput; writeByte[int]; void; gnu.trove.SerializationProcedure; execute[byte]; boolean; null; stream>
<java.io.DataOutput; writeShort[int]; void; gnu.trove.SerializationProcedure; execute[short]; boolean; null; stream>
<java.io.DataOutput; writeInt[int]; void; gnu.trove.SerializationProcedure; execute[int]; boolean; null; stream>
<java.io.DataOutput; writeDouble[double]; void; gnu.trove.SerializationProcedure; execute[double]; boolean; null; stream>
<java.io.DataOutput; writeLong[long]; void; gnu.trove.SerializationProcedure; execute[long]; boolean; null; stream>
<java.io.DataOutput; writeFloat[float]; void; gnu.trove.SerializationProcedure; execute[float]; boolean; null; stream>
<java.io.ObjectOutput; writeObject[java.lang.Object]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object]; boolean; null; stream>
<java.io.ObjectOutput; writeObject[java.lang.Object]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, java.lang.Object]; boolean; null; stream>
<java.io.ObjectOutput; writeObject[java.lang.Object]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, java.lang.Object]; boolean; null; stream>
<java.io.ObjectOutput; writeObject[java.lang.Object]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, byte]; boolean; null; stream>
<java.io.DataOutput; writeByte[int]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, byte]; boolean; null; stream>
<java.io.ObjectOutput; writeObject[java.lang.Object]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, short]; boolean; null; stream>
<java.io.DataOutput; writeShort[int]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, short]; boolean; null; stream>
<java.io.ObjectOutput; writeObject[java.lang.Object]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, int]; boolean; null; stream>
<java.io.DataOutput; writeInt[int]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, int]; boolean; null; stream>
<java.io.ObjectOutput; writeObject[java.lang.Object]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, long]; boolean; null; stream>
<java.io.DataOutput; writeLong[long]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, long]; boolean; null; stream>
<java.io.ObjectOutput; writeObject[java.lang.Object]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, double]; boolean; null; stream>
<java.io.DataOutput; writeDouble[double]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, double]; boolean; null; stream>
<java.io.ObjectOutput; writeObject[java.lang.Object]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, float]; boolean; null; stream>
<java.io.DataOutput; writeFloat[float]; void; gnu.trove.SerializationProcedure; execute[java.lang.Object, float]; boolean; null; stream>
<java.io.DataOutput; writeInt[int]; void; gnu.trove.SerializationProcedure; execute[int, byte]; boolean; null; stream>
<java.io.DataOutput; writeByte[int]; void; gnu.trove.SerializationProcedure; execute[int, byte]; boolean; null; stream>
<java.io.DataOutput; writeInt[int]; void; gnu.trove.SerializationProcedure; execute[int, short]; boolean; null; stream>
<java.io.DataOutput; writeShort[int]; void; gnu.trove.SerializationProcedure; execute[int, short]; boolean; null; stream>
